pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
SA3,02,18,01,02,24,05,23.4,0
SA3,02,18,01,03,30,01,30.7,0
SA3,02,18,01,03,30,02,29.7,0
SA3,02,18,01,03,30,03,30,0
SA3,02,18,01,03,30,04,30.1,0
SA3,02,18,01,03,30,05,29.4,0
SA3,02,18,01,04,36,01,35.7,0
SA3,02,18,01,04,36,02,35.5,0
SA3,02,18,01,04,36,03,35.1,0
SA3,02,18,01,04,36,04,35.4,0
SA3,02,18,01,04,36,05,35.4,0
SA3,02,18,01,05,42,01,41.6,0
SA3,02,18,01,05,42,02,42,0
SA3,02,18,01,05,42,03,41.5,0
SA3,02,18,01,05,42,04,41.6,0
SA3,02,18,01,05,42,05,41.6,0
SA3,02,18,01,06,48,01,47.5,1
SA3,02,18,01,06,48,02,47.7,1
SA3,02,18,01,06,48,03,48.4,1
SA3,02,18,01,06,48,04,48.1,1
SA3,02,18,01,06,48,05,47.6,1
SA3,02,18,01,07,54,01,52.6,1
SA3,02,18,01,07,54,02,53.3,1
SA3,02,18,01,07,54,03,53.7,1
SA3,02,18,01,07,54,04,53.3,1
SA3,02,18,01,07,54,05,54,1
SD1,03,05,00,01,18,01,-1,-1
SD1,03,05,00,01,18,02,-1,-1
SD1,03,05,00,01,18,03,-1,-1
SD1,03,05,00,01,18,04,-1,-1
SD1,03,05,00,01,18,05,-1,-1
SD1,03,05,00,02,24,01,27.4,0
SD1,03,05,00,02,24,02,25.6,0
SD1,03,05,00,02,24,03,25.1,0
SD1,03,05,00,02,24,04,25.4,0
SD1,03,05,00,02,24,05,25.2,0
SD1,03,05,00,03,30,01,34.1,0
SD1,03,05,00,03,30,02,32.7,0
SD1,03,05,00,03,30,03,33.6,0
SD1,03,05,00,03,30,04,33.5,0
SD1,03,05,00,03,30,05,33,0
SD1,03,05,00,04,36,01,39.4,1
SD1,03,05,00,04,36,02,40,1
SD1,03,05,00,04,36,03,41.3,1
SD1,03,05,00,04,36,04,41.3,1
SD1,03,05,00,04,36,05,40,1
SD1,03,05,00,05,42,01,48.2,1
SD1,03,05,00,05,42,02,49,1
SD1,03,05,00,05,42,03,50,1
SD1,03,05,00,05,42,04,47.7,1
SD1,03,05,00,05,42,05,48.3,1
SD1,03,05,00,06,48,01,53.6,1
SD1,03,05,00,06,48,02,53.6,1
SD1,03,05,00,06,48,03,53,1
SD1,03,05,00,06,48,04,53.6,1
SD1,03,05,00,06,48,05,53.8,1
SD1,03,05,00,07,54,01,59.4,1
SD1,03,05,00,07,54,02,58.2,1
SD1,03,05,00,07,54,03,59.6,1
SD1,03,05,00,07,54,04,60.3,1
SD1,03,05,00,07,54,05,60.8,1
SD1,03,05,01,01,18,01,-1,-1
SD1,03,05,01,01,18,02,-1,-1
SD1,03,05,01,01,18,03,-1,-1
SD1,03,05,01,01,18,04,-1,-1
SD1,03,05,01,01,18,05,-1,-1
SD1,03,05,01,02,24,01,26.6,0
SD1,03,05,01,02,24,02,26,0
SD1,03,05,01,02,24,03,25.6,0
SD1,03,05,01,02,24,04,25.4,0
SD1,03,05,01,02,24,05,25.6,0
SD1,03,05,01,03,30,01,34.5,0
SD1,03,05,01,03,30,02,34.2,0
SD1,03,05,01,03,30,03,33.7,0
SD1,03,05,01,03,30,04,33.6,0
