pallet,layer_height,extrusion,run,speed,replicate,layer_width,over-under
SD1,5,3,6,140,4,59.6,1
SD1,5,3,6,140,5,61,1
SD1,5,3,7,160,1,55.4,1
SD1,5,3,7,160,2,56.6,1
SD1,5,3,7,160,3,55.5,1
SD1,5,3,7,160,4,57,1
SD1,5,3,7,160,5,55.9,1
SD1,5,3,8,180,1,52.8,1
SD1,5,3,8,180,2,52,1
SD1,5,3,8,180,3,50.8,1
SD1,5,3,8,180,4,51.1,1
SD1,5,3,8,180,5,51.5,1
SD1,5,3,9,200,1,47.2,1
SD1,5,3,9,200,2,45.7,1
SD1,5,3,9,200,3,47.4,1
SD1,5,3,9,200,4,47.2,1
SD1,5,3,9,200,5,48.2,1
SD1,5,3,10,220,1,43.4,1
SD1,5,3,10,220,2,42.9,1
SD1,5,3,10,220,3,43.7,1
SD1,5,3,10,220,4,45,1
SD1,5,3,10,220,5,43.9,1
SD1,5,3,11,240,1,40.5,1
SD1,5,3,11,240,2,37.2,1
SD1,5,3,11,240,3,39.1,1
SD1,5,3,11,240,4,38.6,1
SD1,5,3,11,240,5,39.5,1
SD1,5,3,12,260,1,35,1
SD1,5,3,12,260,2,34.6,1
SD1,5,3,12,260,3,34.1,1
SD1,5,3,12,260,4,36.3,1
SD1,5,3,12,260,5,36.1,1
SD1,5,3,13,280,1,33.7,1
SD1,5,3,13,280,2,33.9,1
SD1,5,3,13,280,3,34.6,1
SD1,5,3,13,280,4,33.8,1
SD1,5,3,13,280,5,33.7,1
SD1,5,3,14,300,1,33,0
SD1,5,3,14,300,2,33.1,0
SD1,5,3,14,300,3,31.3,0
SD1,5,3,14,300,4,31.8,0
SD1,5,3,14,300,5,34.8,0
SD1,5,3,15,320,1,31.7,0
SD1,5,3,15,320,2,28.3,0
SD1,5,3,15,320,3,29.1,0
SD1,5,3,15,320,4,29,0
SD1,5,3,15,320,5,29.4,0
SD1,5,3,16,340,1,28.5,0
SD1,5,3,16,340,2,29.1,0
SD1,5,3,16,340,3,29.1,0
SD1,5,3,16,340,4,29.7,0
SD1,5,3,16,340,5,30.4,0
SD1,5,3,17,360,1,28.8,0
SD1,5,3,17,360,2,27,0
SD1,5,3,17,360,3,26.9,0
SD1,5,3,17,360,4,27.3,0
SD1,5,3,17,360,5,29.7,0
SD1,5,3,18,380,1,25.6,0
SD1,5,3,18,380,2,26.2,0
SD1,5,3,18,380,3,27.2,0
SD1,5,3,18,380,4,26.9,0
SD1,5,3,18,380,5,25.5,0
SD1,5,3,19,400,1,24.3,0
SD1,5,3,19,400,2,25.1,0
SD1,5,3,19,400,3,24.2,0
SD1,5,3,19,400,4,24.4,0
SD1,5,3,19,400,5,24.6,0
SC,8,3,1,40,1,-1,1
SC,8,3,1,40,2,-1,1
SC,8,3,1,40,3,-1,1
SC,8,3,1,40,4,-1,1
SC,8,3,1,40,5,-1,1
SC,8,3,2,60,1,-1,1
SC,8,3,2,60,2,-1,1
SC,8,3,2,60,3,-1,1
SC,8,3,2,60,4,-1,1
SC,8,3,2,60,5,-1,1
SC,8,3,3,80,1,-1,1
SC,8,3,3,80,2,-1,1
SC,8,3,3,80,3,-1,1
SC,8,3,3,80,4,-1,1
SC,8,3,3,80,5,-1,1
SC,8,3,4,100,1,-1,1
SC,8,3,4,100,2,-1,1
SC,8,3,4,100,3,-1,1
SC,8,3,4,100,4,-1,1
SC,8,3,4,100,5,-1,1
SC,8,3,5,120,1,46.9,1
SC,8,3,5,120,2,48.3,1
SC,8,3,5,120,3,46,1
SC,8,3,5,120,4,46.2,1
SC,8,3,5,120,5,47.4,1
SC,8,3,6,140,1,41.3,0
SC,8,3,6,140,2,40.9,0
